"","year","seas","index","obs","se_log","SE"
"1",1997,7,3,204250.406794492,0.0993379530252763,20289.8173155448
"2",1998,7,-3,1,1,1
"3",1999,7,3,139389.637471972,0.105390685298392,14690.3694166655
"4",2000,7,-3,1,1,1
"5",2001,7,3,168872.483640917,0.1345308386875,22718.5568554537
"6",2002,7,-3,1,1,1
"7",2003,7,3,203095.620036767,0.12425679261153,25236.0103392186
"8",2004,7,-3,1,1,1
"9",2005,7,3,109533.824319573,0.210454587841895,23051.8958519223
"10",2006,7,-3,1,1,1
"11",2007,7,3,119105.043225321,0.138743614227897,16525.064169851
"12",2008,7,-3,1,1,1
"13",2009,7,3,95552.7140884644,0.221563571274293,21171.0005783916
"14",2010,7,-3,1,1,1
"15",2011,7,3,143786.400703183,0.181805089224526,26141.0994091157
"16",2012,7,-3,1,1,1
"17",2013,7,3,171225.222913136,0.244963368760527,41943.9074215739
"18",2014,7,-3,1,1,1
"19",2015,7,3,157996.062625745,0.193037573112729,30499.1764906406
"20",2016,7,-3,1,1,1
"21",2017,7,3,124913.389566191,0.147233087226611,18391.3839817706
"22",2018,7,-3,1,1,1
"23",2019,7,3,94495.9988507846,0.141171847297318,13340.1747199705
"24",2020,7,-3,1,1,1
"25",2021,7,3,108311.931961999,0.215682367933153,23360.9739609785
"26",2022,7,-3,1,1,1
"27",2023,7,3,73821.9398397837,0.181160807282026,13373.6422165004
